area,ID,numid,wdepth,bpi,rie,new_cmecs,dshore,shore_code
1.83,G479,"479",-5.56842610421241,2.35473545175987,0,Gravel,50.884596078775,MI
0.63,G480,"480",-2.83556896335671,5.38718501934344,0.517935592634341,Sand,202.820607021202,MI
2.07,G481,"481",-15.4293516006593,-0.408066102575521,2.11134414424912,Gravel,581.528177014854,EI-Mix_Coarse
2.18,G482,"482",-93.6552436205547,-1.97864440167593,4.77609519777752,Muddy Sand,580.902193638152,EI-Sand
2,G483,"483",-133.545526032756,-4.63476014669091,4.77157880909983,Muddy Sand,1189.6168250946,EI-Mix_Fine
2,G484,"484",-128.93127077782,-10.9100205632525,13.9745934149669,Muddy Sand,1110.83799122507,EI-Boulder
0.77,G485,"485",-25.5609638631411,86.0532307722094,3.68468513398566,Coarse Unconsolidated Substrate,26.8441179413525,EI-Sand
2,G486,"486",-121.4877669615,-9.12957984016741,5.87316524558587,Fine Unconsolidated Substrate,1639.85286606478,OCN
1.26,G487,"487",-65.8331735112074,18.4169654496289,2.64806409650778,Unconsolidated Mineral Substrate,301.334847480367,EI-Sand
1.54,G488,"488",-0.0838217501760621,0.556618015859985,0,Unconsolidated Mineral Substrate,390.611585384207,EI-Sand
0.89,G489,"489",-6.49633043233373,11.145589969418,0.707265331384696,Fine Unconsolidated Substrate,22.101536363784,EI-Mix_Coarse
1.54,G490,"490",-8.53195690798493,1.60703511151824,0.798518415973331,Fine Unconsolidated Substrate,254.687492335353,EI-Mix_Fine
1.56,G491,"491",-7.85101012897241,0.431145090829951,0.238422421637553,Mud,535.332586290688,EI-Mix_Coarse
1.24,G492,"492",0,-0.0301492496045103,0,Coarse Unconsolidated Substrate,157.727703591728,EI-Mix_Coarse
0.54,G493,"493",0,3.051898816818,0,Unconsolidated Mineral Substrate,43.0676433771623,EI-Mix_Fine
1.78,G494,"494",-0.0954489623962266,-0.0128809397417478,0,Fine Unconsolidated Substrate,496.639665260044,EI-Mix_Fine
1.19,G495,"495",-27.3833379464931,14.8090216861542,2.5432770618722,Unconsolidated Mineral Substrate,274.315823866721,EI-Mix_Fine
2,G496,"496",-56.3034698792107,-3.64317609264518,9.77262326800134,Muddy Sand,1693.4579739667,OCN
1.13,G497,"497",-4.30575754669275,14.0763908106789,4.71996614233541,Muddy Sand,259.840069505687,EI-Mix_Coarse
1.84,G498,"498",-55.7541109125153,4.76686125627404,5.7855288461767,Muddy Sand,413.129124957993,EI-Sand
2,G499,"499",-62.8716139690186,-2.32676128912992,17.7687108607793,Muddy Sand,1625.23104180883,OCN
2,G500,"500",-65.3938767147321,0.33394836818841,1.35301439425161,Sand,2403.35505180137,OCN
2,G501,"501",-69.9572974866717,3.82785410461146,4.13311627823669,Gravel,3355.83867024933,OCN
2,G502,"502",-82.4717361469942,-2.49175188643425,11.3648146578934,Gravel,1814.88615779872,OCN
2,G503,"503",-81.8019002893683,-2.35751566340779,12.6692791517548,Gravel,1862.25768611644,OCN
2,G504,"504",-108.55509960471,1.25706421903667,9.67403378472681,Cobble,2663.99978347968,OCN
2,G505,"505",-148.713214611785,-8.29338081824819,7.35997005710548,Cobble,2552.15903030886,OCN
2,G506,"506",-117.867359630527,-9.65575696316736,6.83163657084668,Cobble,3251.75998018523,OCN
2,G507,"507",-43.7811896056708,3.80535220692907,3.70604769192379,Cobble,3205.51797382446,OCN
2.34,G508,"508",-23.7795732501765,2.26410804696788,1.89133086403503,Sand,639.883847313773,EI-Mix_Coarse
1.86,G509,"509",-18.41429845558,1.31866253438517,0.705706747626396,Fine Unconsolidated Substrate,311.303110072778,EI-Mix_Coarse
2.24,G510,"510",-14.8492116234101,0.346945488366938,1.62518410012993,Fine Unconsolidated Substrate,580.305873749623,EI-Mix_Coarse
1.87,G511,"511",-2.47805620469671,-0.685041305093321,0.433300865763055,Unconsolidated Mineral Substrate,140.619177114175,EI-Mix_Coarse
1.18,G512,"512",-7.6930278175167,4.6463866555106,1.03835010876748,Gravel,223.2299740734,EI-Mix_Coarse
1.67,G513,"513",-78.5006741771958,1.41331136307743,4.31991377868881,Gravel,230.601582981397,EI-Mix_Fine
2,G514,"514",-156.908364478964,-13.2087795820208,8.98814541682428,Muddy Sand,1095.91570317626,EI-Sand
1.83,G515,"515",-111.859532352301,14.1075289921944,6.60593892992883,Muddy Sand,326.467419002732,EI-Sand
2,G516,"516",-129.506209833536,-10.8132359261535,6.30569874986381,Fine Unconsolidated Substrate,866.277394933034,EI-Sand
1.62,G517,"517",-82.1781372947759,11.5334012358677,2.79263086380672,Unconsolidated Mineral Substrate,381.631110897404,EI-Sand
1.7,G518,"518",-1.06098175255511,0.177523363669812,0,Unconsolidated Mineral Substrate,66.8145751390496,EI-Sand
1.44,G519,"519",-8.68413992453434,2.0436128036631,0.751565773113068,Fine Unconsolidated Substrate,488.448622759107,EI-Mix_Coarse
1.46,G520,"520",0,0.880478704483408,0,Fine Unconsolidated Substrate,99.8602897948235,EI-Mix_Fine
1.92,G521,"521",-10.4115030405341,-1.21139111473635,0.312632152746232,Mud,216.386703477581,EI-Artificial
0.91,G522,"522",0,0.233719900760628,0,Coarse Unconsolidated Substrate,202.155370930348,EI-Mix_Coarse
2.08,G523,"523",-1.28939827713449,-0.48251242797682,0,Fine Unconsolidated Substrate,429.628475324228,EI-Mix_Fine
1.93,G524,"524",-42.9897040259727,4.3782045296001,4.71063163494529,Muddy Sand,523.153433424767,EI-Mix_Fine
2.12,G525,"525",-36.8400074151184,6.80191175888528,13.2791958119564,Muddy Sand,555.321572904853,EI-Mix_Coarse
1.07,G526,"526",0,5.24080787350652,1.89126457859124,Unconsolidated Mineral Substrate,40.9618447778602,EI-Mix_Coarse
2,G527,"527",-71.4959975064263,-9.44784289282746,6.36127960395478,Muddy Sand,1266.09170239041,EI-Sand
2,G528,"528",-98.5905977327795,-22.1729805604829,12.6918373609199,Muddy Sand,1181.88591048859,EI-Mix_Coarse
2,G529,"529",-70.5466539278124,-0.335519303118745,4.95775263160321,Muddy Sand,2359.10066555647,OCN
2,G530,"530",-66.8480706838972,2.63772045276767,2.04823622861371,Sand,3421.40663651468,OCN
2,G531,"531",-105.284149149322,-7.41545550416285,8.68735034596289,Gravel,3004.5097618784,OCN
