ID,numid,weighted_current
G1098,"1098",0.317868025035408
G1099,"1099",0.323937444389503
G11,"11",0.43214058834705
G110,"110",0.408827438774414
G1100,"1100",0.315189100426707
G1101,"1101",0.310225868352291
G1102,"1102",0.288677927745745
G1103,"1103",0.266450981226411
G1104,"1104",0.247155120187413
G1105,"1105",0.237038190363575
G1106,"1106",0.248154361156456
G1107,"1107",0.26576872342394
G1108,"1108",0.289726649663899
G1109,"1109",0.310086699171899
G111,"111",0.413465513739026
G1110,"1110",0.317214072456197
G1111,"1111",0.31218522451843
G1112,"1112",0.304782809337507
G1113,"1113",0.29767398179006
G1114,"1114",0.30632173618669
G1115,"1115",0.316321967344965
G1116,"1116",0.332505338835362
G1117,"1117",0.346151009573636
G1118,"1118",0.36118759786303
G1119,"1119",0.374194955387658
G112,"112",0.392283400196306
G1120,"1120",0.371821910952113
G1121,"1121",0.36123343298966
G1122,"1122",0.352078018610617
G1123,"1123",0.330613497862797
G1124,"1124",0.32095600182445
G1125,"1125",0.320003385549639
G1126,"1126",0.331939801216365
G1127,"1127",0.350030224276979
G1128,"1128",0.354919307904344
G1129,"1129",0.37286338819754
G113,"113",0.373540139279974
G1130,"1130",0.395368326647637
G1131,"1131",0.590072479588128
G1132,"1132",0.509121043163692
G1133,"1133",0.403680650073401
G1134,"1134",0.352599309060335
G1135,"1135",0.320591380989495
G1136,"1136",0.30417074357308
G1137,"1137",0.318741048927588
G1138,"1138",0.305779079657752
G1139,"1139",0.288777129486235
G114,"114",0.359466327862633
G1140,"1140",0.265021199767508
G1141,"1141",0.243001952329976
G1142,"1142",0.229126128082359
G1143,"1143",0.23018027531608
G1144,"1144",0.241797943814422
G1145,"1145",0.261952449306099
G1146,"1146",0.289436755734906
G1147,"1147",0.307618202540139
G1148,"1148",0.308919938122962
G1149,"1149",0.302663474243407
G115,"115",0.33994333379829
G1150,"1150",0.293768609837489
G1151,"1151",0.297708214883462
G1152,"1152",0.306401649522002
G1153,"1153",0.318475525941569
G1154,"1154",0.331315379236125
G1155,"1155",0.342697024399093
G1156,"1156",0.359887766093998
G1157,"1157",0.36346545506356
G1158,"1158",0.357991270775065
G1159,"1159",0.352574258761998
G116,"116",0.347877846470386
G1160,"1160",0.339977126237783
G1161,"1161",0.330614785983703
G1162,"1162",0.328371169714028
G1163,"1163",0.33351895325192
G1164,"1164",0.339173537421522
G1165,"1165",0.358328360164174
G1166,"1166",0.369720203028485
G1167,"1167",0.384805152645199
G1168,"1168",0.582882753357413
G1169,"1169",0.532061182446527
G117,"117",0.743491954846545
G1170,"1170",0.441432902216773
G1171,"1171",0.366631215357118
G1172,"1172",0.335054670101217
G1173,"1173",0.309027983872927
G1174,"1174",0.306637945029635
G1175,"1175",0.31678269737556
G1176,"1176",0.324318597382478
G1177,"1177",0.320159971047964
G1178,"1178",0.301223879451992
G1179,"1179",0.288198498603906
G118,"118",0.773972407229975
G1180,"1180",0.266622088842085
G1181,"1181",0.24058900218864
G1182,"1182",0.224094344279498
G1183,"1183",0.219224714740697
G1184,"1184",0.223838485529626
G1185,"1185",0.236997323061524
G1186,"1186",0.265014812804691
G1187,"1187",0.292471655437302
G1188,"1188",0.304585412912229
G1189,"1189",0.299072928888177
G119,"119",0.775093420925326
G1190,"1190",0.296297562890061
G1191,"1191",0.29118283909267
G1192,"1192",0.299435993572411
G1193,"1193",0.308170940836405
G1194,"1194",0.31834950257649
G1195,"1195",0.326350154768828
G1196,"1196",0.345501438791732
G1197,"1197",0.350257228942917
G1198,"1198",0.349938795372724
G1199,"1199",0.346126251766674
G12,"12",0.427312059728722
G120,"120",0.733375111354635
G1200,"1200",0.34014154217159
G1201,"1201",0.33738863982958
G1202,"1202",0.340413036242596
G1203,"1203",0.346147247796292
G1204,"1204",0.3645481317291
G1205,"1205",0.372815200747798
G1206,"1206",0.381963855449305
G1207,"1207",0.392545638083727
G1208,"1208",0.54415890681049
G1209,"1209",0.394484334815395
G121,"121",0.659561860443579
G1210,"1210",0.344861806944018
G1211,"1211",0.30582041196206
G1212,"1212",0.311851455874184
G1213,"1213",0.322720955103399
G1214,"1214",0.324597065253039
G1215,"1215",0.305598930798656
G1216,"1216",0.287899907773532
G1217,"1217",0.270142442682696
G1218,"1218",0.244256066219762
G1219,"1219",0.222199562774203
G122,"122",0.573487136816225
G1220,"1220",0.212806881273613
G1221,"1221",0.213399620071727
G1222,"1222",0.222718702637703
G1223,"1223",0.239236483010817
G1224,"1224",0.273723991400152
G1225,"1225",0.295853488436383
G1226,"1226",0.301011663882471
G1227,"1227",0.296963018168178
G1228,"1228",0.293088243123861
G1229,"1229",0.29464396106705
G123,"123",0.485998192474666
G1230,"1230",0.300766194369407
G1231,"1231",0.308124292518151
G1232,"1232",0.313374334790447
G1233,"1233",0.336279333081098
G1234,"1234",0.343693990733464
G1235,"1235",0.347548491335844
G1236,"1236",0.346754531983812
G1237,"1237",0.34929705821905
G1238,"1238",0.354025864093558
G1239,"1239",0.35781515145081
G124,"124",0.436762320463864
G1240,"1240",0.374299900310524
G1241,"1241",0.377413460515416
G1242,"1242",0.385232114850248
G1243,"1243",0.391861028170264
G1244,"1244",0.553019654070148
G1245,"1245",0.501234453057261
G1246,"1246",0.361640431772299
G1247,"1247",0.328557817250069
G1248,"1248",0.309911085984522
G1249,"1249",0.322281041847796
G125,"125",0.414049598126406
G1250,"1250",0.329020758965257
G1251,"1251",0.317077426767223
G1252,"1252",0.290391820187435
G1253,"1253",0.275644262891126
G1254,"1254",0.252062136358241
G1255,"1255",0.22700148695377
G1256,"1256",0.209896625367106
G1257,"1257",0.207059103081685
G1258,"1258",0.21308148836144
G1259,"1259",0.219313342311656
G126,"126",0.437091600442031
G1260,"1260",0.251111493867698
G1261,"1261",0.283057618408648
G1262,"1262",0.299645759803313
G1263,"1263",0.299381224863724
G1264,"1264",0.297497710894828
G1265,"1265",0.294647681335182
G1266,"1266",0.297441628125399
G1267,"1267",0.301345360307254
G1268,"1268",0.30342638988484
G1269,"1269",0.302990294317949
G127,"127",0.505674942901889
G1270,"1270",0.318388032202531
G1271,"1271",0.332451243188949
